Scenario,Tasks,Agent_Cost,Optimal_Policy,Status,Time_sec
Tiny_Graph,5,15.2515,"[1, 1, 1, 1, 1]",Success,16.77
Small_Graph,7,20.172,"[1, 1, 1, 1, 1, 1, 1]",Success,16.56
Medium_Graph,10,33.6115,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Success,18.23
Large_Graph,12,43.0918,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Success,19.93
Sparse_Dependencies,8,24.3698,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,15.59
Dense_Dependencies,8,29.291,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,18.26
Pipeline_Structure,8,15.9715,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,18.66
Parallel_Structure,8,20.1703,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,16.5
Compute_Heavy,8,25.6903,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,18.52
Data_Heavy,8,29.652,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,20.27
High_Bandwidth,8,27.732,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,14.22
Low_Bandwidth,8,29.1718,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,20.61
Powerful_Cloud,8,29.2915,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,20.75
Weak_Cloud,8,23.7713,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,17.2
No_Remote_Nodes,6,127.056,"[0, 0, 0, 0, 0, 0]",Success,13.54
All_Cloud_Nodes,6,20.7706,"[1, 2, 3, 4, 5, 1]",Success,15.15
